Time,Open,High,Low,Close,Volume
2024-02-29 17:00:00,25.01,25.01,25.01,25.01,1
2024-02-29 18:00:00,25.03,25.03,25.03,25.03,2
2024-02-29 20:00:00,25.04,25.04,25.04,25.04,2
2024-02-29 21:00:00,25.04,25.04,25.04,25.04,1
2024-03-01 16:00:00,25.07,25.07,25.03,25.03,4
2024-03-01 18:00:00,25.0,25.0,25.0,25.0,1
2024-03-01 22:00:00,25.08,25.09,25.08,25.09,4
2024-03-04 16:00:00,25.07,25.07,25.07,25.07,1
2024-03-04 22:00:00,25.06,25.08,25.06,25.08,5
2024-03-05 22:00:00,25.09,25.09,25.09,25.09,2
2024-03-07 18:00:00,25.05,25.05,25.05,25.05,1
2024-03-07 22:00:00,25.07,25.07,25.07,25.07,1
2024-03-08 18:00:00,25.04,25.04,25.04,25.04,1
2024-03-08 22:00:00,25.04,25.05,25.04,25.05,3
2024-03-11 18:00:00,25.05,25.08,25.04,25.04,9
2024-03-11 21:00:00,25.05,25.05,25.04,25.04,2
2024-03-12 18:00:00,25.06,25.06,25.06,25.06,1
2024-03-12 19:00:00,25.02,25.02,25.02,25.02,4
2024-03-12 21:00:00,25.04,25.08,25.03,25.03,19
2024-03-13 18:00:00,25.07,25.07,25.03,25.03,4
2024-03-13 19:00:00,25.03,25.08,25.03,25.08,39
2024-03-13 20:00:00,25.08,25.08,25.08,25.08,3
2024-03-13 21:00:00,25.08,25.08,25.04,25.04,4
2024-03-14 17:00:00,25.08,25.08,25.08,25.08,1
2024-03-14 21:00:00,25.06,25.06,25.06,25.06,3
2024-03-15 18:00:00,25.08,25.08,25.08,25.08,1
2024-03-15 21:00:00,25.05,25.08,25.05,25.08,9
2024-03-18 20:00:00,25.07,25.1,25.06,25.08,22
2024-03-18 21:00:00,25.08,25.1,25.07,25.1,12
2024-03-19 16:00:00,25.08,25.08,25.08,25.08,1
2024-03-19 17:00:00,25.09,25.09,25.09,25.09,1
2024-03-19 19:00:00,25.08,25.08,25.07,25.07,3
2024-03-19 20:00:00,25.07,25.09,25.07,25.08,23
2024-03-19 21:00:00,25.08,25.08,25.08,25.08,1
2024-03-20 19:00:00,25.09,25.11,25.09,25.11,24
2024-03-20 20:00:00,25.11,25.11,25.09,25.09,42
2024-03-20 21:00:00,25.09,25.09,25.08,25.09,3
2024-03-21 19:00:00,25.06,25.1,25.06,25.09,10
2024-03-21 20:00:00,25.08,25.1,25.08,25.08,14
2024-03-22 16:00:00,25.08,25.08,25.08,25.08,4
2024-03-22 17:00:00,25.08,25.08,25.08,25.08,2
2024-03-22 18:00:00,25.06,25.09,25.06,25.08,21
2024-03-22 19:00:00,25.08,25.08,25.08,25.08,2
2024-03-22 20:00:00,25.08,25.11,25.06,25.06,11
2024-03-22 21:00:00,25.06,25.1,25.06,25.07,6
2024-03-25 17:00:00,25.08,25.1,25.08,25.09,10
2024-03-25 18:00:00,25.08,25.08,25.08,25.08,2
2024-03-25 19:00:00,25.09,25.09,25.09,25.09,5
2024-03-25 20:00:00,25.09,25.09,25.09,25.09,8
2024-03-25 21:00:00,25.09,25.11,25.05,25.09,56
2024-03-26 18:00:00,25.08,25.09,25.04,25.09,4
2024-03-26 19:00:00,25.1,25.1,25.08,25.1,9
2024-03-26 20:00:00,25.08,25.08,25.08,25.08,1
2024-03-26 21:00:00,25.09,25.12,25.08,25.08,10
2024-03-27 17:00:00,25.11,25.11,25.09,25.09,5
2024-03-27 20:00:00,25.09,25.2,25.09,25.09,9
2024-03-27 21:00:00,25.11,25.11,25.11,25.11,1
2024-03-28 20:00:00,25.12,25.12,25.12,25.12,2
2024-03-28 21:00:00,25.11,25.12,25.09,25.09,18
2024-04-01 16:00:00,25.11,25.11,25.11,25.11,1
2024-04-01 19:00:00,25.11,25.13,25.11,25.13,4
2024-04-01 22:00:00,25.13,25.15,25.13,25.15,16
2024-04-02 20:00:00,25.13,25.16,25.13,25.15,33
2024-04-02 21:00:00,25.12,25.14,25.12,25.14,11
2024-04-03 19:00:00,25.14,25.14,25.13,25.13,3
2024-04-03 20:00:00,25.11,25.16,25.11,25.13,35
2024-04-03 21:00:00,25.11,25.13,25.11,25.13,6
2024-04-03 22:00:00,25.11,25.16,25.11,25.16,35
2024-04-04 17:00:00,25.13,25.13,25.13,25.13,1
2024-04-04 18:00:00,25.14,25.14,25.14,25.14,2
2024-04-04 21:00:00,25.14,25.16,25.12,25.16,27
2024-04-04 22:00:00,25.13,25.17,25.12,25.16,19
2024-04-05 18:00:00,25.12,25.12,25.12,25.12,1
2024-04-05 21:00:00,25.12,25.16,25.12,25.16,25
2024-04-05 22:00:00,25.16,25.65,25.14,25.15,39
2024-04-08 18:00:00,25.17,25.17,25.17,25.17,1
2024-04-08 19:00:00,25.18,25.2,25.18,25.18,9
2024-04-08 21:00:00,25.19,25.19,25.19,25.19,1
2024-04-08 22:00:00,25.18,25.2,25.17,25.18,51
2024-04-09 20:00:00,25.18,25.18,25.18,25.18,7
2024-04-09 21:00:00,25.18,25.19,25.18,25.18,42
2024-04-09 22:00:00,25.17,25.2,25.17,25.19,13
2024-04-10 22:00:00,25.18,25.21,25.17,25.19,32
2024-04-11 18:00:00,25.17,25.17,25.17,25.17,1
2024-04-11 19:00:00,25.18,25.18,25.18,25.18,2
2024-04-11 20:00:00,25.15,25.19,25.15,25.18,32
2024-04-11 21:00:00,25.15,25.18,25.15,25.18,15
2024-04-11 22:00:00,25.18,25.18,25.16,25.17,13
2024-04-12 21:00:00,25.16,25.2,25.16,25.19,10
2024-04-12 22:00:00,25.18,25.2,25.18,25.18,37
2024-04-15 19:00:00,25.18,25.2,25.17,25.19,7
2024-04-15 20:00:00,25.19,25.2,25.18,25.2,8
2024-04-15 21:00:00,25.19,25.19,25.17,25.17,3
2024-04-15 22:00:00,25.19,25.19,25.17,25.17,30
2024-04-16 17:00:00,25.19,25.19,25.19,25.19,6
2024-04-16 21:00:00,25.2,25.21,25.18,25.2,86
2024-04-17 19:00:00,25.18,25.18,25.18,25.18,1
2024-04-17 20:00:00,25.16,25.16,25.16,25.16,6
2024-04-17 21:00:00,25.18,25.18,25.18,25.18,3
2024-04-17 22:00:00,25.18,25.21,25.18,25.2,44
2024-04-18 18:00:00,25.19,25.19,25.19,25.19,1
2024-04-18 21:00:00,25.19,25.19,25.19,25.19,1
2024-04-18 22:00:00,25.19,25.21,25.18,25.21,17
2024-04-19 19:00:00,25.21,25.23,25.21,25.23,7
2024-04-19 20:00:00,25.23,25.23,25.23,25.23,3
2024-04-19 21:00:00,25.23,25.23,25.19,25.22,25
2024-04-19 22:00:00,25.2,25.24,25.2,25.24,107
2024-04-22 17:00:00,25.2,25.2,25.2,25.2,1
2024-04-22 18:00:00,25.19,25.19,25.19,25.19,1
2024-04-22 19:00:00,25.2,25.21,25.2,25.2,5
2024-04-22 20:00:00,25.21,25.21,25.2,25.2,14
2024-04-22 22:00:00,25.2,25.21,25.2,25.21,15
2024-04-23 18:00:00,25.23,25.24,25.22,25.24,55
2024-04-23 20:00:00,25.22,25.22,25.22,25.22,1
2024-04-23 21:00:00,25.23,25.23,25.2,25.21,22
2024-04-23 22:00:00,25.21,25.22,25.2,25.22,24
2024-04-24 22:00:00,25.2,25.25,25.2,25.24,55
2024-04-25 17:00:00,25.24,25.24,25.24,25.24,2
2024-04-25 22:00:00,25.25,25.25,25.23,25.24,51
2024-04-26 16:00:00,25.26,25.26,25.26,25.26,1
2024-04-26 18:00:00,25.22,25.22,25.22,25.22,1
2024-04-26 20:00:00,25.22,25.24,25.22,25.22,9
2024-04-26 21:00:00,25.25,25.25,25.25,25.25,1
2024-04-26 22:00:00,25.26,25.26,25.22,25.25,8
2024-04-29 17:00:00,25.22,25.22,25.22,25.22,2
2024-04-29 20:00:00,25.24,25.26,25.22,25.26,4
2024-04-29 22:00:00,25.22,25.26,25.22,25.26,27
2024-04-30 18:00:00,25.24,25.27,25.24,25.26,5
2024-04-30 19:00:00,25.25,25.25,25.25,25.25,1
2024-04-30 21:00:00,25.26,25.26,25.24,25.26,49
2024-04-30 22:00:00,25.26,25.26,25.26,25.26,25
2024-05-01 18:00:00,25.27,25.27,25.25,25.26,4
2024-05-01 19:00:00,25.27,25.27,25.27,25.27,1
2024-05-01 20:00:00,25.25,25.28,25.25,25.27,21
2024-05-01 22:00:00,25.26,25.27,25.25,25.26,26
2024-05-02 19:00:00,25.31,25.33,25.31,25.33,4
2024-05-02 20:00:00,25.33,25.33,25.33,25.33,1
2024-05-02 21:00:00,25.31,25.31,25.31,25.31,1
2024-05-02 22:00:00,25.31,25.33,25.31,25.31,42
